Unnamed: 0,SPX,ES_BID,ES_ASK,VIX
2025-04-10 11:27:41.342142,5262.68,5298.5,5298.75,40.67
2025-04-10 11:27:44.385727,5263.11,5299.25,5299.5,40.67
2025-04-10 11:27:47.391618,5262.65,5298.25,5298.5,40.62
2025-04-10 11:27:50.398069,5262.36,5297.5,5297.75,40.62
2025-04-10 11:27:53.413379,5262.05,5297.5,5297.75,40.62
2025-04-10 11:27:56.459264,5261.98,5298.25,5298.5,40.62
2025-04-10 11:27:59.510775,5261.45,5297.25,5297.5,40.62
2025-04-10 11:28:02.552318,5260.66,5295.5,5296.0,40.74
2025-04-10 11:28:05.598745,5260.35,5295.25,5295.5,40.74
2025-04-10 11:28:08.608583,5260.48,5295.5,5296.0,40.74
2025-04-10 11:28:11.628386,5260.09,5295.25,5295.5,40.74
2025-04-10 11:28:14.633386,5261.05,5297.25,5297.5,40.74
2025-04-10 11:28:17.636474,5261.97,5299.0,5299.25,40.7
2025-04-10 11:28:20.647623,5263.67,5299.25,5299.5,40.7
2025-04-10 11:28:23.671374,5263.38,5299.25,5299.75,40.7
2025-04-10 11:28:26.674129,5263.34,5299.25,5299.5,40.7
2025-04-10 11:28:29.723750,5262.88,5299.25,5299.5,40.7
2025-04-10 11:28:32.767678,5263.15,5299.25,5299.75,40.65
2025-04-10 11:28:35.774787,5263.24,5298.75,5299.0,40.65
2025-04-10 11:28:38.824305,5262.9,5299.0,5299.25,40.65
2025-04-10 11:28:41.864437,5262.76,5298.75,5299.25,40.65
2025-04-10 11:28:44.904192,5262.83,5299.5,5299.75,40.65
2025-04-10 11:28:47.943451,5262.77,5299.5,5299.75,40.66
2025-04-10 11:28:50.982955,5262.46,5297.75,5298.0,40.66
2025-04-10 11:28:54.019588,5261.48,5296.75,5297.25,40.66
2025-04-10 11:28:57.020951,5260.53,5296.0,5296.25,40.66
2025-04-10 11:29:00.022858,5260.2,5295.75,5296.25,40.66
2025-04-10 11:29:03.026947,5258.83,5294.0,5294.25,40.79
2025-04-10 11:29:06.030081,5259.48,5296.25,5296.5,40.79
2025-04-10 11:29:09.070101,5260.43,5297.0,5297.25,40.79
2025-04-10 11:29:12.111755,5260.13,5296.0,5296.25,40.79
2025-04-10 11:29:15.161596,5259.94,5296.75,5297.25,40.79
2025-04-10 11:29:18.171376,5259.34,5294.25,5294.75,40.82
2025-04-10 11:29:21.221443,5259.22,5294.75,5295.0,40.82
2025-04-10 11:29:24.265489,5258.26,5293.5,5294.0,40.82
2025-04-10 11:29:27.311284,5257.27,5292.5,5292.75,40.82
2025-04-10 11:29:30.359685,5256.95,5292.25,5292.5,40.82
2025-04-10 11:29:33.401952,5257.24,5292.5,5292.75,41.01
2025-04-10 11:29:36.412001,5257.72,5293.75,5294.0,41.01
2025-04-10 11:29:39.427815,5257.66,5293.5,5293.75,41.01
2025-04-10 11:29:42.428085,5257.2,5292.75,5293.0,41.01
2025-04-10 11:29:45.429686,5256.95,5292.75,5293.0,41.01
2025-04-10 11:29:48.478861,5256.77,5291.5,5291.75,41.02
2025-04-10 11:29:51.494408,5255.36,5290.75,5291.0,41.02
2025-04-10 11:29:54.492026,5255.56,5291.75,5292.0,41.02
2025-04-10 11:29:57.500318,5255.76,5291.25,5291.5,41.02
2025-04-10 11:30:00.543151,5255.4,5291.25,5291.5,41.02
2025-04-10 11:30:03.550300,5255.64,5291.75,5292.0,41.15
2025-04-10 11:30:06.551335,5255.21,5291.25,5291.5,41.15
2025-04-10 11:30:09.554635,5256.88,5293.75,5294.25,41.15
2025-04-10 11:30:12.563855,5257.22,5293.75,5294.0,41.15
2025-04-10 11:30:15.569686,5259.46,5295.25,5295.75,41.15
2025-04-10 11:30:18.586249,5258.68,5294.5,5294.75,40.99
2025-04-10 11:30:21.589057,5257.16,5291.5,5291.75,40.99
2025-04-10 11:30:24.599510,5254.62,5288.5,5288.75,40.99
2025-04-10 11:30:27.613663,5254.75,5290.5,5290.75,40.99
2025-04-10 11:30:30.635316,5254.37,5288.75,5289.25,40.99
2025-04-10 11:30:33.650464,5255.25,5292.0,5292.5,41.21
2025-04-10 11:30:36.663540,5256.93,5293.5,5293.75,41.21
2025-04-10 11:30:39.715818,5256.7,5294.25,5294.75,41.21
2025-04-10 11:30:42.727186,5257.78,5294.0,5294.25,41.21
2025-04-10 11:30:45.776232,5257.07,5293.0,5293.25,41.21
2025-04-10 11:30:48.795837,5256.59,5292.25,5292.5,41.14
2025-04-10 11:30:51.803957,5256.7,5291.5,5291.75,41.14
2025-04-10 11:30:54.854822,5254.97,5289.5,5289.75,41.14
2025-04-10 11:30:57.873386,5254.79,5288.5,5289.0,41.14
2025-04-10 11:31:00.877033,5254.33,5288.5,5289.0,41.14
2025-04-10 11:31:03.893213,5253.37,5288.5,5289.0,41.33
2025-04-10 11:31:06.935203,5253.99,5289.75,5290.0,41.33
2025-04-10 11:31:09.951618,5254.39,5290.25,5290.75,41.33
2025-04-10 11:31:12.999330,5253.57,5289.75,5290.0,41.33
